listing_id,name,host_name,neighbourhood_cleansed,room_type,price_clean,review_count,review_scores_rating
1051276165819384554,Chill vibe & spot-on location for dining & shops,Hotel Espresso Amsterdam City,De Baarsjes - Oud-West,Private room,,720.0,4.47
1057494,Lovely bright room with balcony and beatiful view!,Rosie,Zuid,Private room,76.0,626.0,4.44
21024509,Amsterdam Central in 10 min - nearby metro,M,Bijlmer-Centrum,Private room,97.0,493.0,4.44
33865629,Room Charlotte (not for parties) Amsterdam center,Lucio,Centrum-Oost,Private room,68.0,490.0,4.49
1080404233704746629,"Twin beds, AC, en suite bath & freebie WiFi",EasyHotel Amsterdam City Center,De Pijp - Rivierenbuurt,Private room,,486.0,4.32
45464448,"Private 4 person room, Euphemia Hotel, city center",Galanti,Centrum-Oost,Private room,,477.0,4.38
30770374,NEW 4p renovated apartment @BEST location Jordaan!,Jasper,Centrum-West,Private room,213.0,455.0,4.44
906446,A cosy Bed and Breakfast in A'dam.,Vivian,Buitenveldert - Zuidas,Private room,89.0,437.0,4.45
2861667,Hotel Not Hotel Amsterdam: Secret Bookcase Medium,Hotel Not Hotel,De Baarsjes - Oud-West,Private room,104.0,432.0,4.4
49484600,Sonder Park House | Spacious Double Room,Sonder (Amsterdam),Zuid,Private room,125.0,422.0,4.49
619283373356472530,Standard Small Double Room with small double bed,Galanti,Centrum-Oost,Private room,113.0,421.0,4.46
49739955,Q-Factory Hotel: The Backstage Twin Room,Q-Factory,Oud-Oost,Private room,138.0,412.0,4.45
1080404315599095169,Well-connected via bus and tram,EasyHotel Amsterdam City Center,De Pijp - Rivierenbuurt,Private room,,383.0,4.27
49484720,Sonder Park House | Twin Single Room,Sonder (Amsterdam),Zuid,Private room,,368.0,4.38
1911182,Comfortable room - central + WIFI,Marijke,Oostelijk Havengebied - Indische Buurt,Private room,92.0,366.0,4.35
12598630,Marnix360Apartments Design,Dries,Centrum-West,Entire home/apt,269.0,324.0,4.47
6485103,Luxurious boutique suite in City Center,Johan,Centrum-Oost,Private room,175.0,314.0,4.45
30250279,Private room in a Historical Building! City Centre,Unsal,Centrum-Oost,Private room,165.0,278.0,4.49
978852,Lovely Room in nice apartment,Sjoukje,De Baarsjes - Oud-West,Private room,,264.0,4.4
13144575,Boogaard’s comfort room (center of old city),Boogaard'S BnB,Centrum-West,Private room,110.0,262.0,4.49
