listing_id,name,host_name,neighbourhood_cleansed,room_type,price_clean,occupancy_rate,estimated_revenue
1046227077999613093,Havenlodge+ 4-6 pers Amsterdam,Jessie,IJburg - Zeeburgereiland,Entire home/apt,80018.0,0.76,22196993.2
1046227413759630293,Havenlodge 4 persoons Amsterdam,Jessie,IJburg - Zeeburgereiland,Entire home/apt,80018.0,0.72,21028730.4
27710965,Sweets hotel - Buiksloterdraaibrug,Aimee,Oud-Noord,Private room,11000.0,1.0,4015000.0
949168651353554085,Visit Van Gogh Museum! 3 Units with Full Kitchens,RoomPicks,Buitenveldert - Zuidas,Hotel room,50000.0,0.08,1460000.0
7674094,Stylish quiet 1920's apartment in vibrant East| 2P,Eva & Kobe,Watergraafsmeer,Entire home/apt,2975.0,0.91,988146.25
949167157015767087,Relax in Luxury: Near Town Center and Cycling Tour,RoomPicks,Buitenveldert - Zuidas,Hotel room,50000.0,0.04,730000.0
949168302521214062,Convenient Stay! 2 Large 1BR Aprt w/ Full Kitchens,RoomPicks,Buitenveldert - Zuidas,Hotel room,40000.0,0.05,730000.0
984625805593041593,Magnificent Penthouse | 360 ° view | Roofterrace,Marnix,Centrum-West,Entire home/apt,2200.0,0.9,722700.0
6260326,★ 3BED ★ 2BATH ★ CITY CENTER ★ ROOFTOP TERRACE ★,Joo-Yon,Centrum-West,Entire home/apt,1625.0,0.99,587193.75
1147087299383974750,Business & Leisure: Stylish Rooms w/ Full Kitchen,RoomPicks,Buitenveldert - Zuidas,Hotel room,40000.0,0.04,584000.0
949167386077737744,City Break in Amsterdam! Large Suite w/ Kitchen,RoomPicks,Buitenveldert - Zuidas,Hotel room,40000.0,0.04,584000.0
1220876037546172594,Chic & Stylish Urban Oasis with Terrace | 4P,Rosanne,De Baarsjes - Oud-West,Entire home/apt,1561.0,0.99,564067.35
1237757171585783266,4P | 2 BEDS Canal view apartment with Cosy Balcony,Aleksander,Centrum-Oost,Entire home/apt,1544.0,0.97,546653.2
37983922,★★★ Cosy Apartment | Great Location | Balcony ★★★,Marciel,Zuid,Entire home/apt,1498.0,0.99,541302.3
1400060380947233562,NEW: Bright & stylish | Ground floor | @ The Pijp,Kjell Jesper,De Pijp - Rivierenbuurt,Entire home/apt,1595.0,0.92,535601.0
1325166309003731020,Havenlodge Amsterdam 1,Novasol,Buitenveldert - Zuidas,Entire home/apt,9999.0,0.14,510948.9
1000493452038041581,Comfortabel schip Amsterdam City,Amsterdam,Westerpark,Entire home/apt,1773.0,0.74,478887.3
768624889023399491,Museum Square View Apartment,Han,Zuid,Entire home/apt,1271.0,1.0,463915.0
28973126,Keizers House,Alexandra,Centrum-Oost,Entire home/apt,1528.0,0.81,451753.2
18882385,★ A/C ★ | BEAUTIFUL CITY CENTER CANAL VIEW ROOM ★,Annette,Centrum-West,Private room,1431.0,0.78,407405.7
