host_id,host_name,listing_count,average_price
1662,Chloe,1,
3592,Ria,1,185.0
14589,Rutger,1,
42599,Kathelijn,1,330.0
57722,Ekaterina,1,220.0
59484,Alexander,2,247.0
70163,T & R,1,424.0
72890,Anneke,1,227.0
77950,Cris & Jules,1,250.0
92194,Taco & Iwanna,1,245.0
97647,Flip,1,132.0
98297,Finn,1,140.0
98647,Petrus Hendrikus Gerardus,1,
98844,Manolis,1,289.0
106225,Anthony Adrian Jeffrey,1,207.0
107906,Veronica,1,
110880,Vasudevan,1,198.0
113034,Bronwyn,1,235.0
122500,Bernadette,1,
124245,Edwin,2,75.0
125667,Michèle,2,164.0
126790,Christopher,1,
127938,Mirte,1,172.0
142145,Justin,1,192.0
157048,James,1,
157323,Leila,1,
158271,Parag,1,
178521,Lionel,1,
179452,Cristina,1,
187728,Tatiana,2,161.0
194523,Elena,1,
194779,Jan,1,
195537,Alex,1,318.0
195859,Gianni,2,64.0
195909,Karina,1,472.0
219080,Franklin,1,228.0
220434,Vesna & Misha,1,
225987,Joanna & MP,1,322.0
229672,Claudia,1,
230246,Donald,1,457.0
231864,Karin,1,198.0
231946,Raymond,1,162.0
241336,Josh,1,284.0
241515,Celine,2,321.0
246493,Dojo,2,80.5
249794,Marieke,1,102.0
252245,Ingrid,1,
259495,Marcel,1,
261549,Christian,1,171.0
263233,Jan-Willem,1,
263888,F.,1,
264178,Cornelie,1,
266624,Krokus,1,203.0
269050,Camiel,2,187.5
270382,Saskia,1,380.0
276068,Mirre,1,185.0
276483,Sophie,1,
277329,Sarah,1,162.0
283269,Manon,1,
296964,Jesse,1,903.0
301340,Jessica,1,
303685,Fabio,1,352.0
311067,Dan,1,
318467,Karolien,1,
325306,Michiel,1,
339001,Benjamin,1,
356740,Dimphy,1,
378043,Martin,1,171.0
382064,Martin A,1,171.0
389623,Ric,2,172.0
391473,Jolien,1,162.0
410152,Derk,1,
412277,Sean,1,
436145,Riks,4,
453818,Steven,1,427.0
454089,Julie,1,
458545,Andrius,1,
460541,Mark And Charlotte,1,367.0
467162,Sanne & Bart,1,223.0
471709,Rob,1,
481080,Hoi-Kee,1,449.0
481605,Joel,1,
488009,Vivian,2,84.0
493325,Stella,1,
494281,Michiel,1,
497550,Marieke,1,
498612,Mark,1,
505271,Michiel,1,229.0
506601,Joris,1,800.0
510307,Alexander,1,
510526,Tuhami,2,257.0
517215,Rental Valley,1,95.0
517541,Anna,1,162.0
523115,Renske,1,
527982,Iekeliene,1,
531200,Jackie,1,220.0
532034,Max,1,
533509,Klaas H,1,
534213,Guillaume,1,422.0
538659,Wendie,1,152.0
540087,Michelle,2,405.0
548719,Claire,1,225.0
551716,Kim,1,
556129,Sabine,1,
578608,Thomas,1,
585955,Federico,1,
598162,Frank,1,
599238,Anouk,1,
613779,Silvana,4,158.33
618589,Mirjam,1,108.0
620111,Minou,1,137.0
647207,Rene,1,
652705,Andreina,1,152.0
654760,Alex,1,376.0
662664,Jantine,1,225.0
669137,Karlijn,1,240.0
669733,Laura,1,
670266,Ton & Fede,1,335.0
680246,Jennifer,1,
689016,Cindy,1,
692241,Maxime,1,139.0
693472,Ayden,1,167.0
699671,Mathys,1,633.0
708139,Claudia,1,250.0
711896,Ilma R,1,74.0
721522,Ben And Amanda,1,
725727,Colin Jeffrey,1,202.0
739084,Onno,1,206.0
744499,Jordan & Sarah,1,180.0
748161,Maria,1,
750244,Sabine,1,254.0
758308,Kutay,1,
761321,Louisa,1,
773375,Noortje,1,
780963,Lars,1,
798492,Eline,1,352.0
808981,Bryan,3,441.33
