id,name,host_id,neighbourhood_cleansed,room_type
868418,Tranquil wooden house with free parking,4574185,Noord-West,Private room
922489,Tranquil wooden house with free parking,4574185,Noord-West,Private room
6285243,"Cozy modern ""Loft"" apartment in canal district",30890942,Centrum-Oost,Entire home/apt
12373532,"Cozy modern ""Loft"" apartment in canal district",30890942,Centrum-Oost,Entire home/apt
17874135,Clean comfy private studio in De Pijp central,6870134,De Pijp - Rivierenbuurt,Private room
18263868,Luxurious private suite City center of Amsterdam,126245396,Centrum-West,Private room
18423345,Luxurious private suite City center of Amsterdam,126245396,Centrum-West,Private room
20952129,Romantic VIP suite & private Jacuzzi on top Crane,150677340,Oud-Noord,Private room
20952140,Romantic VIP suite & private Jacuzzi on top Crane,150677340,Oud-Noord,Private room
20952152,Romantic VIP suite & private Jacuzzi on top Crane,150677340,Oud-Noord,Private room
21211980,Clean comfy private studio in De Pijp central,6870134,De Pijp - Rivierenbuurt,Private room
23332938,David's boat Amsterdam,173784342,Centrum-Oost,Private room
23363442,David's boat Amsterdam,173784342,Centrum-Oost,Private room
43707658,Eco-friendly Double king bed Room at Westerpark,237371423,Westerpark,Private room
43709001,Eco-friendly Double king bed Room at Westerpark,237371423,Westerpark,Private room
47017355,"Cozy modern ""Loft XL"" apartment in canal district",30890942,Centrum-Oost,Entire home/apt
47017385,"Cozy modern ""Loft XL"" apartment in canal district",30890942,Centrum-Oost,Entire home/apt
47573141,"Cozy modern ""Loft"" apartment in canal district",30890942,Centrum-Oost,Entire home/apt
47573699,"Cozy modern ""Loft XL"" apartment in canal district",30890942,Centrum-Oost,Entire home/apt
612289973482163299,Enjoy ShipStays in Amsterdam!,18081564,Oud-Noord,Entire home/apt
633897525764451161,High-end boutique studio near city center!,460700360,Slotervaart,Entire home/apt
643315499225242586,Enjoy ShipStays in Amsterdam!,18081564,Oud-Noord,Entire home/apt
656411139345937864,High-end boutique apartment near city center!,460700360,Slotervaart,Entire home/apt
656411620862616177,High-end boutique apartment near city center!,460700360,Slotervaart,Entire home/apt
666549873738661916,High-end boutique studio near city center!,460700360,Slotervaart,Entire home/apt
769460764152625515,"Dubbel kamer, ontbijt is inbegrepen.",488984558,Centrum-West,Private room
769483610559319327,"Singel Room, ontbijt is inbegrepen.",488984558,Centrum-West,Private room
769498578801201685,"Dubbel kamer, ontbijt is inbegrepen.",488984558,Centrum-West,Private room
771604446735535557,"Dubbel kamer, ontbijt is inbegrepen.",488984558,Centrum-West,Private room
771609212449133892,"Dubbel kamer, ontbijt is inbegrepen.",488984558,Centrum-West,Private room
771611358606779936,"Dubbel kamer, ontbijt is inbegrepen.",488984558,Centrum-West,Private room
771619151759198939,"Singel Room, ontbijt is inbegrepen.",488984558,Centrum-West,Private room
1141218789120396947,Luxurious 4-Room Water Villa in Amsterdam,198405490,IJburg - Zeeburgereiland,Entire home/apt
1256320772760411726,Luxurious and Modern AP @ Amsterdam Oud-West,161729978,De Baarsjes - Oud-West,Entire home/apt
1305712059252027252,Private Room at Carmen,665683331,Centrum-Oost,Private room
1381922346679984275,Luxurious and Modern AP @ Amsterdam Oud-West,161729978,De Baarsjes - Oud-West,Entire home/apt
1386811877850253545,Private Room at Carmen,665683331,Centrum-Oost,Private room
1417841046436653347,Luxurious 4-Room Water Villa in Amsterdam,198405490,IJburg - Zeeburgereiland,Entire home/apt
1467383363683784743,Charming Apartment in the Heart of Amsterdam,198405490,De Baarsjes - Oud-West,Entire home/apt
1467394145651053990,Charming Apartment in the Heart of Amsterdam,198405490,De Baarsjes - Oud-West,Entire home/apt
1479900104027044547,Cozy Amsterdam South Apartment,198469799,Buitenveldert - Zuidas,Entire home/apt
1479929951340348365,Cozy Amsterdam South Apartment,198469799,Buitenveldert - Zuidas,Entire home/apt
1479938849392299011,Cozy Amsterdam South Apartment,198469799,Buitenveldert - Zuidas,Entire home/apt
