file_name,column_name,data_type,missing_count,missing_percentage,min_value,max_value,sample_values
listings,id,int64,0,0.0,27886,1506287353709120640,27886 | 28871 | 29051
listings,listing_url,object,0,0.0,,,https://www.airbnb.com/rooms/27886 | https://www.airbnb.com/rooms/28871 | https://www.airbnb.com/rooms/29051
listings,scrape_id,int64,0,0.0,20250911031321,20250911031321,20250911031321 | 20250911031321 | 20250911031321
listings,last_scraped,object,0,0.0,,,2025-09-11 | 2025-09-11 | 2025-09-11
listings,source,object,0,0.0,,,city scrape | city scrape | city scrape
listings,name,object,0,0.0,,,"Romantic, stylish B&B houseboat in canal district | Comfortable double room | Comfortable single / double room"
listings,description,object,348,3.32,,,"Stylish and romantic houseboat on fantastic historic location with breathtaking view.  Wheelhouse, deckhouse and captains room. Central, quiet. Great breakfast, 2 vanMoof design bikes and a Canadian Canoe are included. Just read the reviews on tripadvisor for instance! | Basic bedroom in the center of Amsterdam. | This room can also be rented as a single or a small double<br /><br />Also a cat lives here"
listings,neighborhood_overview,object,5288,50.46,,,"Central, quiet, safe, clean and beautiful. | Flower market , Leidseplein , Rembrantsplein | the street is quite lively especially on weekends when the weather is good"
listings,picture_url,object,0,0.0,,,https://a0.muscache.com/pictures/02c2da9d-660e-451d-8a51-2f7a17469df7.jpg | https://a0.muscache.com/pictures/160889/362340f7_original.jpg | https://a0.muscache.com/pictures/162009/bd6be2f8_original.jpg
listings,host_id,int64,0,0.0,1662,717346955,97647 | 124245 | 124245
listings,host_url,object,0,0.0,,,https://www.airbnb.com/users/show/97647 | https://www.airbnb.com/users/show/124245 | https://www.airbnb.com/users/show/124245
listings,host_name,object,3,0.03,,,Flip | Edwin | Edwin
listings,host_since,object,3,0.03,,,2010-03-23 | 2010-05-13 | 2010-05-13
listings,host_location,object,1232,11.76,,,"Amsterdam, Netherlands | Amsterdam, Netherlands | Amsterdam, Netherlands"
listings,host_about,object,4970,47.42,,,"Marjan works in ""eye"" the dutch filmmuseum, and designs costumes for tv, film and theatre. Flip is an actor, mainly on stage, but also for film and tv. So for cultural advise, what to do, you are coming to the right place...

 | Hi | Hi"
listings,host_response_time,object,3797,36.23,,,within an hour | within an hour | within an hour
listings,host_response_rate,object,3797,36.23,,,100% | 100% | 100%
listings,host_acceptance_rate,object,2430,23.19,,,97% | 99% | 99%
listings,host_is_superhost,object,115,1.1,,,t | t | t
listings,host_thumbnail_url,object,3,0.03,,,https://a0.muscache.com/im/users/97647/profile_pic/1273275077/original.jpg?aki_policy=profile_small | https://a0.muscache.com/im/pictures/user/9986bbdb-632f-42b5-a866-8e3307184977.jpg?aki_policy=profile_small | https://a0.muscache.com/im/pictures/user/9986bbdb-632f-42b5-a866-8e3307184977.jpg?aki_policy=profile_small
listings,host_picture_url,object,3,0.03,,,https://a0.muscache.com/im/users/97647/profile_pic/1273275077/original.jpg?aki_policy=profile_x_medium | https://a0.muscache.com/im/pictures/user/9986bbdb-632f-42b5-a866-8e3307184977.jpg?aki_policy=profile_x_medium | https://a0.muscache.com/im/pictures/user/9986bbdb-632f-42b5-a866-8e3307184977.jpg?aki_policy=profile_x_medium
listings,host_neighbourhood,object,7690,73.38,,,Westelijke Eilanden | Amsterdam Centrum | Amsterdam Centrum
listings,host_listings_count,float64,3,0.03,1.0,957.0,1.0 | 2.0 | 2.0
listings,host_total_listings_count,float64,3,0.03,1.0,1655.0,1.0 | 2.0 | 2.0
listings,host_verifications,object,3,0.03,,,"['email', 'phone'] | ['email', 'phone'] | ['email', 'phone']"
listings,host_has_profile_pic,object,3,0.03,,,t | t | t
listings,host_identity_verified,object,3,0.03,,,t | t | t
listings,neighbourhood,object,5288,50.46,,,"Amsterdam, North Holland, Netherlands | Amsterdam, North Holland, Netherlands | Amsterdam, North Holland, Netherlands"
listings,neighbourhood_cleansed,object,0,0.0,,,Centrum-West | Centrum-West | Centrum-Oost
listings,neighbourhood_group_cleansed,float64,10480,100.0,,,
listings,latitude,float64,0,0.0,52.290276216002695,52.42512,52.38761 | 52.36775 | 52.36584
listings,longitude,float64,0,0.0,4.75587,5.02815,4.89188 | 4.89092 | 4.89111
listings,property_type,object,0,0.0,,,Private room in houseboat | Private room in rental unit | Private room in condo
listings,room_type,object,0,0.0,,,Private room | Private room | Private room
listings,accommodates,int64,0,0.0,1,16,2 | 2 | 2
listings,bathrooms,float64,4548,43.4,0.0,17.0,1.5 | 1.0 | 1.0
listings,bathrooms_text,object,12,0.11,,,1.5 baths | 1 shared bath | 1 shared bath
listings,bedrooms,float64,306,2.92,0.0,17.0,1.0 | 1.0 | 1.0
listings,beds,float64,4576,43.66,0.0,33.0,1.0 | 1.0 | 1.0
listings,amenities,object,0,0.0,,,"[""Canal view"", ""Coffee"", ""Private backyard \u2013 Not fully fenced"", ""Bikes"", ""Portable fans"", ""Books and reading material"", ""Fast wifi \u2013 245 Mbps"", ""Hangers"", ""Paid street parking off premises"", ""Shower gel"", ""Breakfast"", ""Wine glasses"", ""Dining table"", ""Private living room"", ""Hot water"", ""Bed linens"", ""TV with standard cable"", ""Heating - split type ductless system"", ""Long term stays allowed"", ""Central heating"", ""Self check-in"", ""Private patio or balcony"", ""City skyline view"", ""Shampoo"", ""Kayak"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Outdoor dining area"", ""Hp neutral, eco friendly body soap"", ""Garden view"", ""Laundromat nearby"", ""Air conditioning"", ""Lake access"", ""Smart lock"", ""Dedicated workspace"", ""Boat slip"", ""Mini fridge"", ""Harbor view"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Coffee maker: Nespresso"", ""Safe"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Outdoor furniture"", ""Waterfront"", ""Clothing storage: closet""] | [""Heating"", ""Lock on bedroom door"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Smoke alarm"", ""Refrigerator"", ""Wifi"", ""Hot water"", ""Bed linens"", ""Hangers"", ""Essentials"", ""Host greets you"", ""Iron"", ""Shampoo"", ""Coffee maker"", ""Fire extinguisher""] | [""Heating"", ""Lock on bedroom door"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Refrigerator"", ""Wifi"", ""Hot water"", ""Bed linens"", ""Hangers"", ""Essentials"", ""Host greets you"", ""Iron"", ""Shampoo"", ""Coffee maker"", ""Shower gel"", ""Fire extinguisher""]"
listings,price,object,4606,43.95,,,$132.00 | $89.00 | $61.00
listings,minimum_nights,int64,0,0.0,1,1001,3 | 2 | 2
listings,maximum_nights,int64,0,0.0,1,1125,356 | 730 | 730
listings,minimum_minimum_nights,float64,4,0.04,1.0,1001.0,3.0 | 1.0 | 1.0
listings,maximum_minimum_nights,float64,4,0.04,1.0,1001.0,3.0 | 2.0 | 2.0
listings,minimum_maximum_nights,float64,4,0.04,1.0,2147483647.0,30.0 | 730.0 | 730.0
listings,maximum_maximum_nights,float64,4,0.04,1.0,2147483647.0,30.0 | 730.0 | 730.0
listings,minimum_nights_avg_ntm,float64,0,0.0,1.0,1001.0,3.0 | 2.0 | 2.0
listings,maximum_nights_avg_ntm,float64,0,0.0,1.0,2147483647.0,30.0 | 730.0 | 730.0
listings,calendar_updated,float64,10480,100.0,,,
listings,has_availability,object,343,3.27,,,t | t | t
listings,availability_30,int64,0,0.0,0,30,2 | 0 | 0
listings,availability_60,int64,0,0.0,0,60,5 | 2 | 1
listings,availability_90,int64,0,0.0,0,90,16 | 10 | 13
listings,availability_365,int64,0,0.0,0,365,17 | 126 | 95
listings,calendar_last_scraped,object,0,0.0,,,2025-09-11 | 2025-09-11 | 2025-09-11
listings,number_of_reviews,int64,0,0.0,0,5097,311 | 732 | 849
listings,number_of_reviews_ltm,int64,0,0.0,0,949,33 | 93 | 86
listings,number_of_reviews_l30d,int64,0,0.0,0,89,3 | 9 | 8
listings,availability_eoy,int64,0,0.0,0,112,17 | 15 | 13
listings,number_of_reviews_ly,int64,0,0.0,0,835,26 | 96 | 88
listings,estimated_occupancy_l365d,int64,0,0.0,0,255,255 | 255 | 255
listings,estimated_revenue_l365d,float64,4606,43.95,0.0,2480558.0,33660.0 | 22695.0 | 15555.0
listings,first_review,object,1097,10.47,,,2012-01-09 | 2010-08-22 | 2011-03-16
listings,last_review,object,1097,10.47,,,2025-09-07 | 2025-09-07 | 2025-09-08
listings,review_scores_rating,float64,1097,10.47,1.0,5.0,4.92 | 4.87 | 4.81
listings,review_scores_accuracy,float64,1097,10.47,1.0,5.0,4.9 | 4.9 | 4.88
listings,review_scores_cleanliness,float64,1098,10.48,1.0,5.0,4.94 | 4.86 | 4.83
listings,review_scores_checkin,float64,1097,10.47,1.0,5.0,4.95 | 4.94 | 4.93
listings,review_scores_communication,float64,1097,10.47,1.0,5.0,4.93 | 4.94 | 4.92
listings,review_scores_location,float64,1097,10.47,2.0,5.0,4.9 | 4.93 | 4.87
listings,review_scores_value,float64,1097,10.47,1.0,5.0,4.78 | 4.83 | 4.79
listings,license,object,119,1.14,,,0363 974D 4986 7411 88D8 | 0363 607B EA74 0BD8 2F6F | 0363 607B EA74 0BD8 2F6F
listings,instant_bookable,object,0,0.0,,,f | f | f
listings,calculated_host_listings_count,int64,0,0.0,1,35,1 | 2 | 2
listings,calculated_host_listings_count_entire_homes,int64,0,0.0,0,32,0 | 0 | 0
listings,calculated_host_listings_count_private_rooms,int64,0,0.0,0,15,1 | 2 | 2
listings,calculated_host_listings_count_shared_rooms,int64,0,0.0,0,9,0 | 0 | 0
